Address,TokenBalanceInWei,TokenBalanceInEth,DPCoin
0x0000000000000000000000000000000000000000,281577766326913784401554983161,281577766326.91378440155498316,42236664949.037067660233247474
0xF09e9E25C1bF1894BCea9B350FaCDbD3CE40398C,0,0,0
0x9D0bEEc8D63ef6484686d1F8470be62a210B7dBd,651505538054017931787953440772,651505538054.01793178795344077,97725830708.1026897681930161155
0x4c581f07CC836e62800B3C05D1cCD6d115c916E5,689428814586582893102091970483,689428814586.58289310209197048,103414322187.987433965313795572
0xFdDb457b94b2F39D56e3bCdFeBb77c6484859967,989010000000000000000000000000,989010000000,148351500000
0x8De42c7007ABfdCAc9Cb9A3BD2B20bD78F350f41,599400000000000000000000000000,599400000000,89910000000
0x9428a3c2C8E67f7197E2726A6F08fA5e25A6EdfA,0,0,0
0x7B80980F1db8F0482703459f390599F0E88D1A59,988011000000000000000000000000,988011000000,148201650000
0x5e2B5504a511E26A89bFb12e74b1871FF152638b,849150000000000000000000000000,849150000000,127372500000
0x9fbdD3ae7bDD4aFB07eA4622edc13Ed5d4073d90,919080000000000000000000000000,919080000000,137862000000
0x15582803e1C4b5184a7ed7F3E7C77CCD5441A840,988910100000000000000000000000,988910100000,148336515000
0xb3aE52B2F13DfBA9D934B3C582594A927c42534E,0,0,0
0x800f2b52deA483643955075B1D66ddbdc2D70E62,989010000000000000000000000000,989010000000,148351500000
0x042aB69f837a1C36b756EBcf126Ed0EED014CE06,0,0,0
0x522541b159336c17199704D47D3EB4f16C7fb488,989999999010000000000000000000,989999999010,148499999851.5
0x06E45fE2632f468095EdD2564E9e752F9300a7eD,979020000000000000000000000000,979020000000,146853000000
0x4b6b83c10BBa08A4AEDA0D998E9De157B41c0B4a,889110000000000000000000000000,889110000000,133366500000
0xe524b9210784FdD6EC07065CcAfD6590Cf374EBC,979617555197649000000000000000,979617555197.649,146942633279.64735
0x7ef6857eD85F4A2BbE8Ee7701C8271AD1385F99e,0,0,0
0x35e71AC55B8Cc2bc6D916eB1494c450C89fB4b63,989010000000000000000000000000,989010000000,148351500000
0x4d926F621E876Ff5274eD1De407fA9A33960118A,989309700000000000000000000000,989309700000,148396455000
0x632Fa79E0cEb234dE20017b557dB0b2fA60E88d6,923688944286156000000000000000,923688944286.156,138553341642.9234
0x9034A56a34D4316A23284cca66b4F0e905717EB6,969980107341600000000000000000,969980107341.6,145497016101.24
0x50838eFeB6aFBf13b7ACee94951DaAeCCc60c99e,649350000000000000000000000000,649350000000,97402500000
0xcE38f78f78FaC244D3d8Ab529c3c157AFe93Ce5d,989999010000000000000000000000,989999010000,148499851500
0xd14475bdCC87A4A944658Dc800b49b58D343ee02,919080000000000000000000000000,919080000000,137862000000
0x393Cb85af8eD4fb4eb45af105B7E27443B8fbC77,689310000000000000000000000000,689310000000,103396500000
0x103FE0B661d585b0Ff298461A1D4421b03481c23,979020000000000000000000000000,979020000000,146853000000
0xAca6b0D8B3761E793f62556c31745a57CAC76a92,979020000000000000000000000000,979020000000,146853000000
0x371EEecE23D19A151F88956a0F051FB2E3E456b1,899100000000000000000000000000,899100000000,134865000000
0x25421a8f17a61eec39ED697e8807866DC656c42d,989509500000000000000000000000,989509500000,148426425000
0x0a2c2267800bE8448fEF5f145FB2b684689e8d89,979617555197649000000000000000,979617555197.649,146942633279.64735
0x28c1bb87E7af0600A24e06f759A6a165917BE44A,979020000000000000000000000000,979020000000,146853000000
0x5Fd8AAA44824A172E8a776bBce144b6803D9c392,899100000000000000000000000000,899100000000,134865000000
0xf191192befF59bBd0e98EdD9E4a5a993af8d35CA,649350000000000000000000000000,649350000000,97402500000
0x2B23b384F8Fc1351007Ad5dCA7A1975A200d8644,979020000000000000000000000000,979020000000,146853000000
0x99AC04c120CaCBE5e3187B9196Cd314AE2a23015,989010000000000000000000000000,989010000000,148351500000
0x86F482c08C43a7648dd2A4294858d6F519b67954,989010000000000000000000000000,989010000000,148351500000
0x6ECe03C00cAeEad82f0a67C8ae7a2A551A524382,969030000000000000000000000000,969030000000,145354500000
0xB5cA9190c58C3Ad9CBC5b74559E890e65A2bb22A,989010000000000000000000000000,989010000000,148351500000
0x86978367A8640F5145DD017818FDad80C1e6BD2E,979020000000000000000000000000,979020000000,146853000000
0xdD2bF1B7cFd1341fdeE4944E94366E5e75c5BC57,989010000000000000000000000000,989010000000,148351500000
0x3ECB7278a663A69CF941A52fB0FBb0F247E70b2b,909090000000000000000000000000,909090000000,136363500000
0xd41D6aA8FF6cECa2a33C2643cd005fac9F92529F,257232509001000000000000000000,257232509001,38584876350.15
0xAfaBB14F8D431495928DC88a8F676A5CFfad7176,979020000000000000000000000000,979020000000,146853000000
0x9AfCdDE2E193d939533Dae0FadDF7F99D802E2d0,919080000000000000000000000000,919080000000,137862000000
0x322ED6d5E2714c29E7AAD931c9a80676c1750D99,649350000000000000000000000000,649350000000,97402500000
0x901532Cd49aB317dFfd452c2164c2ebC6195BdF6,979020000000000000000000000000,979020000000,146853000000
0x6021030e4090b13ba8825Ff279AC6E21152A057d,899100000000000000000000000000,899100000000,134865000000
0x648d357D86A7D50Cd74e2a255Ff382E3F4AAbC71,939060000000000000000000000000,939060000000,140859000000
0xcb37914eDf2eBBAe3E9fFAA72a08558260BFEebB,918980100000000000000000000000,918980100000,137847015000
0x84BF5f7585b75efdC3fb5aC810adE14C91dFb1Eb,989010000000000000000000000000,989010000000,148351500000
0x5E0Aa031DB4E6dd8862FF14c8d2D3F575c0334B6,989259750000000000023357216593,989259750000.0000000233572166,148388962500.00000000350358249
0x017940e15D811C46Bb00dF2F4fA9C0ebC25bCBa6,989010000000000000000000000000,989010000000,148351500000
0xe7Bd891dbCB35064751E777262AE7ffb54Bc7B12,939060000000000000000000000000,939060000000,140859000000
0x9C5f2f7991997EAcc3bF29505A7E4D14D645c107,989999010000000000000000000000,989999010000,148499851500
0x78Ef741F4f039C836039FA649a538fb692ccC8A1,989010000000000000000000000000,989010000000,148351500000
0x2D12b1A88f1162ABaC22cb567427Dd6990cA1b0B,939060000000000000000000000000,939060000000,140859000000
0xd8b7519e2C118Ef582F6d13979da12870319d604,989010000000000000000000000000,989010000000,148351500000
0x384671E2B3b1f59371083b6Cf903a4019620720d,989010000000000000000000000000,989010000000,148351500000
0x8400Ec794e270A908A5E8e4d2c300a5D9F907F93,894296531515761000000000000000,894296531515.761,134144479727.36415
